Provinces Name,Provinces Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Seluma, Kab.",ID.BE.SE,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Seluma, Kab.",ID.BE.SE,Total Population (in number of people),SP.POP.TOTL,183420,185587,187807,189874,191907,193802,195583
"Seluma, Kab.",ID.BE.SE,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Seluma, Kab.",ID.BE.SE,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Seluma, Kab.",ID.BE.SE,Poverty Rate (in % of population),SI.POV.NAPR.ZS,21.17,22.98,21.68,20.73,19.6,19.1,18.56
"Bantul, Kab.",ID.YO.BA,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bantul, Kab.",ID.YO.BA,Total Population (in number of people),SP.POP.TOTL,959445,971511,983527,995264,1006692,1018402,1029997
"Bantul, Kab.",ID.YO.BA,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bantul, Kab.",ID.YO.BA,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bantul, Kab.",ID.YO.BA,Poverty Rate (in % of population),SI.POV.NAPR.ZS,15.89,16.33,14.55,14.07,13.43,12.92,13.5
"Gunung Kidul, Kab.",ID.YO.GK,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Gunung Kidul, Kab.",ID.YO.GK,Total Population (in number of people),SP.POP.TOTL,707794,715282,722479,729364,736210,742731,749274
"Gunung Kidul, Kab.",ID.YO.GK,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Gunung Kidul, Kab.",ID.YO.GK,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Gunung Kidul, Kab.",ID.YO.GK,Poverty Rate (in % of population),SI.POV.NAPR.ZS,20.83,21.73,19.34,18.65,17.12,16.61,17.07
"Kulon Progo, Kab.",ID.YO.KP,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Kulon Progo, Kab.",ID.YO.KP,Total Population (in number of people),SP.POP.TOTL,407709,412198,416683,421295,425758,430220,434483
"Kulon Progo, Kab.",ID.YO.KP,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Kulon Progo, Kab.",ID.YO.KP,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Kulon Progo, Kab.",ID.YO.KP,Poverty Rate (in % of population),SI.POV.NAPR.ZS,20.64,21.4,20.3,20.03,18.3,17.39,18.01
"Sleman, Kab.",ID.YO.SL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Sleman, Kab.",ID.YO.SL,Total Population (in number of people),SP.POP.TOTL,1154501,1167481,1180479,1193512,1206714,1219640,1232598
"Sleman, Kab.",ID.YO.SL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Sleman, Kab.",ID.YO.SL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Sleman, Kab.",ID.YO.SL,Poverty Rate (in % of population),SI.POV.NAPR.ZS,9.5,9.46,8.21,8.13,7.65,7.41,8.12
"Yogyakarta, Kota",ID.YO.YO,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Yogyakarta, Kota",ID.YO.YO,Total Population (in number of people),SP.POP.TOTL,407667,412704,417744,422732,427498,431939,435936
"Yogyakarta, Kota",ID.YO.YO,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Yogyakarta, Kota",ID.YO.YO,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Yogyakarta, Kota",ID.YO.YO,Poverty Rate (in % of population),SI.POV.NAPR.ZS,8.67,8.75,7.7,7.64,6.98,6.84,7.27
"Adm. Kepulauan Seribu, Kab.",ID.JK.KS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Adm. Kepulauan Seribu, Kab.",ID.JK.KS,Total Population (in number of people),SP.POP.TOTL,23011,23340,23616,23897,24134,24295,24469
"Adm. Kepulauan Seribu, Kab.",ID.JK.KS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Adm. Kepulauan Seribu, Kab.",ID.JK.KS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Adm. Kepulauan Seribu, Kab.",ID.JK.KS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,11.56,11.4,12.58,12.98,11.98,12.09,14.87
"Jakarta Barat, Kota",ID.JK.JB,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jakarta Barat, Kota",ID.JK.JB,Total Population (in number of people),SP.POP.TOTL,2430410,2463560,2496002,2528065,2559362,2589933,2619785
"Jakarta Barat, Kota",ID.JK.JB,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jakarta Barat, Kota",ID.JK.JB,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jakarta Barat, Kota",ID.JK.JB,Poverty Rate (in % of population),SI.POV.NAPR.ZS,3.72,3.64,3.38,3.45,3.39,3.25,4.25
"Jakarta Pusat, Kota",ID.JK.JP,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jakarta Pusat, Kota",ID.JK.JP,Total Population (in number of people),SP.POP.TOTL,910381,914182,917754,921344,924686,928109,931366
"Jakarta Pusat, Kota",ID.JK.JP,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jakarta Pusat, Kota",ID.JK.JP,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jakarta Pusat, Kota",ID.JK.JP,Poverty Rate (in % of population),SI.POV.NAPR.ZS,4.12,4.16,3.91,3.78,3.59,3.68,4.51
"Jakarta Selatan, Kota",ID.JK.JS,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jakarta Selatan, Kota",ID.JK.JS,Total Population (in number of people),SP.POP.TOTL,2164070,2185711,2206732,2226830,2246137,2264699,2282521
"Jakarta Selatan, Kota",ID.JK.JS,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jakarta Selatan, Kota",ID.JK.JS,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jakarta Selatan, Kota",ID.JK.JS,Poverty Rate (in % of population),SI.POV.NAPR.ZS,3.72,3.41,3.27,3.14,2.83,2.73,3.43
"Jakarta Timur, Kota",ID.JK.JT,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Jakarta Timur, Kota",ID.JK.JT,Total Population (in number of people),SP.POP.TOTL,2817994,2843816,2868910,2892783,2916018,2937859,2959114
"Jakarta Timur, Kota",ID.JK.JT,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Jakarta Timur, Kota",ID.JK.JT,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Jakarta Timur, Kota",ID.JK.JT,Poverty Rate (in % of population),SI.POV.NAPR.ZS,3.43,3.24,3.19,3.31,3.14,3.12,4.16
