"event_id_cnty","NAME_2","TYPE_2","district"
"IDN18197","Banyumas","Kabupaten","Banyumas, Kab."
"IDN18236","Kota Sorong","Kota","Sorong, Kota"
"IDN18237","Kota Sorong","Kota","Sorong, Kota"
"IDN18242","Ogan Ilir","Kabupaten","Ogan Ilir, Kab."
"IDN18181","Ambon","Kota","Ambon, Kota"
"IDN18239","Ogan Komering Ulu Timur","Kabupaten","Ogan Komering Ulu Timur, Kab."
"IDN18240","Surabaya","Kota","Surabaya, Kota"
"IDN18255","Kota Sukabumi","Kota","Sukabumi, Kota"
"IDN18214","Serang","Kabupaten","Serang, Kab."
"IDN18275","Serang","Kabupaten","Serang, Kab."
"IDN18213","Kendal","Kabupaten","Kendal, Kab."
"IDN18217","Deli Serdang","Kabupaten","Deli Serdang, Kab."
"IDN18256","Lumajang","Kabupaten","Lumajang, Kab."
"IDN18292","Ambon","Kota","Ambon, Kota"
"IDN18297","Palu","Kota","Palu, Kota"
"IDN18276","Yahukimo","Kabupaten","Yahukimo, Kab."
"IDN18284","Polewali Mandar","Kabupaten","Polewali Mandar, Kab."
"IDN18512","Sleman","Kabupaten","Sleman, Kab."
"IDN18266","Palu","Kota","Palu, Kota"
"IDN18267","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18286","Indragiri Hilir","Kabupaten","Indragiri Hilir, Kab."
"IDN18299","Surabaya","Kota","Surabaya, Kota"
"IDN18300","Bangka Tengah","Kabupaten","Bangka Tengah, Kab."
"IDN18301","Kota Bandung","Kota","Bandung, Kota"
"IDN18311","Pangkalpinang","Kota","Pangkalpinang, Kota"
"IDN18606","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN18318","Palembang","Kota","Palembang, Kota"
"IDN18298","Jombang","Kabupaten","Jombang, Kab."
"IDN18279","Merauke","Kabupaten","Merauke, Kab."
"IDN18281","Kota Jayapura","Kota","Jayapura, Kota"
"IDN18295","Kota Jayapura","Kota","Jayapura, Kota"
