"district","year","poverty_rate","extrapolated"
"Bantaeng, Kab.",2015,9.53,FALSE
"Bantaeng, Kab.",2016,9.51,FALSE
"Bantaeng, Kab.",2017,9.66,FALSE
"Bantaeng, Kab.",2018,9.23,FALSE
"Bantaeng, Kab.",2019,9.03,FALSE
"Bantaeng, Kab.",2020,8.95,FALSE
"Bantaeng, Kab.",2021,8.81,TRUE
"Bantaeng, Kab.",2022,8.67,TRUE
"Bantaeng, Kab.",2023,8.53,TRUE
"Bantaeng, Kab.",2024,8.39,TRUE
"Bantul, Kab.",2015,16.33,FALSE
"Bantul, Kab.",2016,14.55,FALSE
"Bantul, Kab.",2017,14.07,FALSE
"Bantul, Kab.",2018,13.43,FALSE
"Bantul, Kab.",2019,12.92,FALSE
"Bantul, Kab.",2020,13.5,FALSE
"Bantul, Kab.",2021,13.535,TRUE
"Bantul, Kab.",2022,13.57,TRUE
"Bantul, Kab.",2023,13.605,TRUE
"Bantul, Kab.",2024,13.64,TRUE
"Banyuasin, Kab.",2015,12.45,FALSE
"Banyuasin, Kab.",2016,11.72,FALSE
"Banyuasin, Kab.",2017,11.47,FALSE
"Banyuasin, Kab.",2018,11.32,FALSE
"Banyuasin, Kab.",2019,11.33,FALSE
"Banyuasin, Kab.",2020,11.17,FALSE
"Banyuasin, Kab.",2021,11.095,TRUE
"Banyuasin, Kab.",2022,11.02,TRUE
"Banyuasin, Kab.",2023,10.945,TRUE
"Banyuasin, Kab.",2024,10.87,TRUE
"Banyumas, Kab.",2015,17.52,FALSE
"Banyumas, Kab.",2016,17.23,FALSE
"Banyumas, Kab.",2017,17.05,FALSE
"Banyumas, Kab.",2018,13.5,FALSE
"Banyumas, Kab.",2019,12.53,FALSE
"Banyumas, Kab.",2020,13.26,FALSE
"Banyumas, Kab.",2021,13.14,TRUE
"Banyumas, Kab.",2022,13.02,TRUE
"Banyumas, Kab.",2023,12.9,TRUE
"Banyumas, Kab.",2024,12.78,TRUE
"Banyuwangi, Kab.",2015,9.17,FALSE
"Banyuwangi, Kab.",2016,8.79,FALSE
"Banyuwangi, Kab.",2017,8.64,FALSE
"Banyuwangi, Kab.",2018,7.8,FALSE
"Banyuwangi, Kab.",2019,7.52,FALSE
"Banyuwangi, Kab.",2020,8.06,FALSE
"Banyuwangi, Kab.",2021,8.19,TRUE
"Banyuwangi, Kab.",2022,8.32,TRUE
"Banyuwangi, Kab.",2023,8.45,TRUE
"Banyuwangi, Kab.",2024,8.58,TRUE
"Barito Kuala, Kab.",2015,5.37,FALSE
"Barito Kuala, Kab.",2016,5.22,FALSE
"Barito Kuala, Kab.",2017,5.13,FALSE
"Barito Kuala, Kab.",2018,4.56,FALSE
"Barito Kuala, Kab.",2019,4.63,FALSE
"Barito Kuala, Kab.",2020,4.51,FALSE
"Barito Kuala, Kab.",2021,4.485,TRUE
"Barito Kuala, Kab.",2022,4.46,TRUE
"Barito Kuala, Kab.",2023,4.435,TRUE
"Barito Kuala, Kab.",2024,4.41,TRUE
"Barito Selatan, Kab.",2015,5.07,FALSE
"Barito Selatan, Kab.",2016,4.58,FALSE
"Barito Selatan, Kab.",2017,4.44,FALSE
"Barito Selatan, Kab.",2018,4.55,FALSE
"Barito Selatan, Kab.",2019,4.39,FALSE
"Barito Selatan, Kab.",2020,4.45,FALSE
"Barito Selatan, Kab.",2021,4.4,TRUE
"Barito Selatan, Kab.",2022,4.35,TRUE
"Barito Selatan, Kab.",2023,4.3,TRUE
"Barito Selatan, Kab.",2024,4.25,TRUE
"Barito Timur, Kab.",2015,8.41,FALSE
"Barito Timur, Kab.",2016,7.64,FALSE
"Barito Timur, Kab.",2017,7.17,FALSE
"Barito Timur, Kab.",2018,6.56,FALSE
"Barito Timur, Kab.",2019,6.32,FALSE
"Barito Timur, Kab.",2020,6.09,FALSE
"Barito Timur, Kab.",2021,5.855,TRUE
"Barito Timur, Kab.",2022,5.62,TRUE
"Barito Timur, Kab.",2023,5.385,TRUE
"Barito Timur, Kab.",2024,5.15,TRUE
"Barito Utara, Kab.",2015,5.93,FALSE
"Barito Utara, Kab.",2016,5.38,FALSE
"Barito Utara, Kab.",2017,5.21,FALSE
"Barito Utara, Kab.",2018,5,FALSE
"Barito Utara, Kab.",2019,4.95,FALSE
"Barito Utara, Kab.",2020,5.17,FALSE
"Barito Utara, Kab.",2021,5.255,TRUE
"Barito Utara, Kab.",2022,5.34,TRUE
"Barito Utara, Kab.",2023,5.425,TRUE
"Barito Utara, Kab.",2024,5.51,TRUE
"Barru, Kab.",2015,9.42,FALSE
"Barru, Kab.",2016,9.45,FALSE
"Barru, Kab.",2017,9.71,FALSE
"Barru, Kab.",2018,9.04,FALSE
"Barru, Kab.",2019,8.57,FALSE
"Barru, Kab.",2020,8.26,FALSE
"Barru, Kab.",2021,7.87,TRUE
"Barru, Kab.",2022,7.48,TRUE
"Barru, Kab.",2023,7.09,TRUE
"Barru, Kab.",2024,6.7,TRUE
"Batam, Kota",2015,5.08,FALSE
"Batam, Kota",2016,4.68,FALSE
"Batam, Kota",2017,4.81,FALSE
"Batam, Kota",2018,5.11,FALSE
"Batam, Kota",2019,4.85,FALSE
"Batam, Kota",2020,4.75,FALSE
"Batam, Kota",2021,4.57,TRUE
"Batam, Kota",2022,4.39,TRUE
"Batam, Kota",2023,4.21,TRUE
"Batam, Kota",2024,4.03,TRUE
"Batang Hari, Kab.",2015,10.69,FALSE
"Batang Hari, Kab.",2016,10.79,FALSE
"Batang Hari, Kab.",2017,10.33,FALSE
"Batang Hari, Kab.",2018,10.23,FALSE
"Batang Hari, Kab.",2019,9.75,FALSE
"Batang Hari, Kab.",2020,9.65,FALSE
"Batang Hari, Kab.",2021,9.36,TRUE
"Batang Hari, Kab.",2022,9.07,TRUE
"Batang Hari, Kab.",2023,8.78,TRUE
"Batang Hari, Kab.",2024,8.49,TRUE
"Batang, Kab.",2015,11.27,FALSE
"Batang, Kab.",2016,11.04,FALSE
"Batang, Kab.",2017,10.8,FALSE
"Batang, Kab.",2018,8.69,FALSE
"Batang, Kab.",2019,8.35,FALSE
"Batang, Kab.",2020,9.13,FALSE
"Batang, Kab.",2021,9.35,TRUE
"Batang, Kab.",2022,9.57,TRUE
"Batang, Kab.",2023,9.79,TRUE
"Batang, Kab.",2024,10.01,TRUE
"Batu Bara, Kab.",2015,12.61,FALSE
"Batu Bara, Kab.",2016,12.24,FALSE
"Batu Bara, Kab.",2017,12.48,FALSE
"Batu Bara, Kab.",2018,12.57,FALSE
"Batu Bara, Kab.",2019,12.14,FALSE
"Batu Bara, Kab.",2020,11.88,FALSE
"Batu Bara, Kab.",2021,11.535,TRUE
"Batu Bara, Kab.",2022,11.19,TRUE
"Batu Bara, Kab.",2023,10.845,TRUE
"Batu Bara, Kab.",2024,10.5,TRUE
"Batu, Kota",2015,4.71,FALSE
"Batu, Kota",2016,4.48,FALSE
"Batu, Kota",2017,4.31,FALSE
"Batu, Kota",2018,3.89,FALSE
"Batu, Kota",2019,3.81,FALSE
"Batu, Kota",2020,3.89,FALSE
"Batu, Kota",2021,3.89,TRUE
"Batu, Kota",2022,3.89,TRUE
"Batu, Kota",2023,3.89,TRUE
"Batu, Kota",2024,3.89,TRUE
"Bau-Bau, Kota",2015,9.24,FALSE
"Bau-Bau, Kota",2016,8.81,FALSE
"Bau-Bau, Kota",2017,8.39,FALSE
"Bau-Bau, Kota",2018,7.57,FALSE
"Bau-Bau, Kota",2019,7.27,FALSE
"Bau-Bau, Kota",2020,7.15,FALSE
"Bau-Bau, Kota",2021,6.94,TRUE
"Bau-Bau, Kota",2022,6.73,TRUE
"Bau-Bau, Kota",2023,6.52,TRUE
"Bau-Bau, Kota",2024,6.31,TRUE
"Bekasi, Kab.",2015,5.27,FALSE
"Bekasi, Kab.",2016,4.92,FALSE
"Bekasi, Kab.",2017,4.73,FALSE
"Bekasi, Kab.",2018,4.37,FALSE
"Bekasi, Kab.",2019,4.01,FALSE
"Bekasi, Kab.",2020,4.82,FALSE
"Bekasi, Kab.",2021,5.045,TRUE
"Bekasi, Kab.",2022,5.27,TRUE
"Bekasi, Kab.",2023,5.495,TRUE
"Bekasi, Kab.",2024,5.72,TRUE
